YEAR,MONTH_NUM,FLT_DATE,APT_ICAO,APT_NAME,Departures_IFR,Arrivals_IFR,Total_IFR_Movements
2018,1,2018-01-01,LIPE,Bologna,65,68,133
2018,1,2018-01-02,LIPE,Bologna,90,93,183
2018,1,2018-01-03,LIPE,Bologna,89,89,178
2018,1,2018-01-04,LIPE,Bologna,96,94,190
2018,1,2018-01-05,LIPE,Bologna,91,91,182
2018,1,2018-01-06,LIPE,Bologna,75,74,149
2018,1,2018-01-07,LIPE,Bologna,80,81,161
2018,1,2018-01-08,LIPE,Bologna,90,91,181
2018,1,2018-01-09,LIPE,Bologna,90,87,177
2018,1,2018-01-10,LIPE,Bologna,84,86,170
2018,1,2018-01-11,LIPE,Bologna,90,88,178
2018,1,2018-01-12,LIPE,Bologna,87,90,177
2018,1,2018-01-13,LIPE,Bologna,73,66,139
2018,1,2018-01-14,LIPE,Bologna,74,78,152
2018,1,2018-01-15,LIPE,Bologna,90,93,183
2018,1,2018-01-16,LIPE,Bologna,89,90,179
2018,1,2018-01-17,LIPE,Bologna,92,88,180
2018,1,2018-01-18,LIPE,Bologna,91,90,181
2018,1,2018-01-19,LIPE,Bologna,79,85,164
2018,1,2018-01-20,LIPE,Bologna,75,67,142
2018,1,2018-01-21,LIPE,Bologna,79,78,157
2018,1,2018-01-22,LIPE,Bologna,88,89,177
2018,1,2018-01-23,LIPE,Bologna,86,86,172
2018,1,2018-01-24,LIPE,Bologna,82,81,163
2018,1,2018-01-25,LIPE,Bologna,91,92,183
2018,1,2018-01-26,LIPE,Bologna,93,92,185
2018,1,2018-01-27,LIPE,Bologna,69,66,135
2018,1,2018-01-28,LIPE,Bologna,77,84,161
2018,1,2018-01-29,LIPE,Bologna,94,94,188
2018,1,2018-01-30,LIPE,Bologna,86,89,175
2018,1,2018-01-31,LIPE,Bologna,93,87,180
2018,2,2018-02-01,LIPE,Bologna,86,89,175
2018,2,2018-02-02,LIPE,Bologna,92,90,182
2018,2,2018-02-03,LIPE,Bologna,67,66,133
2018,2,2018-02-04,LIPE,Bologna,76,81,157
2018,2,2018-02-05,LIPE,Bologna,95,94,189
2018,2,2018-02-06,LIPE,Bologna,86,83,169
2018,2,2018-02-07,LIPE,Bologna,84,86,170
2018,2,2018-02-08,LIPE,Bologna,88,86,174
2018,2,2018-02-09,LIPE,Bologna,96,98,194
2018,2,2018-02-10,LIPE,Bologna,72,69,141
2018,2,2018-02-11,LIPE,Bologna,75,79,154
2018,2,2018-02-12,LIPE,Bologna,94,93,187
2018,2,2018-02-13,LIPE,Bologna,90,89,179
2018,2,2018-02-14,LIPE,Bologna,85,88,173
2018,2,2018-02-15,LIPE,Bologna,90,86,176
2018,2,2018-02-16,LIPE,Bologna,91,92,183
2018,2,2018-02-17,LIPE,Bologna,75,73,148
2018,2,2018-02-18,LIPE,Bologna,79,82,161
2018,2,2018-02-19,LIPE,Bologna,90,91,181
2018,2,2018-02-20,LIPE,Bologna,90,89,179
2018,2,2018-02-21,LIPE,Bologna,90,94,184
2018,2,2018-02-22,LIPE,Bologna,94,92,186
2018,2,2018-02-23,LIPE,Bologna,92,91,183
2018,2,2018-02-24,LIPE,Bologna,74,71,145
2018,2,2018-02-25,LIPE,Bologna,76,81,157
2018,2,2018-02-26,LIPE,Bologna,92,92,184
2018,2,2018-02-27,LIPE,Bologna,89,90,179
2018,2,2018-02-28,LIPE,Bologna,89,86,175
2018,3,2018-03-01,LIPE,Bologna,58,64,122
2018,3,2018-03-02,LIPE,Bologna,77,75,152
2018,3,2018-03-03,LIPE,Bologna,78,75,153
2018,3,2018-03-04,LIPE,Bologna,82,84,166
2018,3,2018-03-05,LIPE,Bologna,97,97,194
2018,3,2018-03-06,LIPE,Bologna,93,90,183
2018,3,2018-03-07,LIPE,Bologna,94,92,186
2018,3,2018-03-08,LIPE,Bologna,77,77,154
2018,3,2018-03-09,LIPE,Bologna,100,101,201
2018,3,2018-03-10,LIPE,Bologna,78,73,151
2018,3,2018-03-11,LIPE,Bologna,82,83,165
2018,3,2018-03-12,LIPE,Bologna,99,97,196
2018,3,2018-03-13,LIPE,Bologna,98,101,199
2018,3,2018-03-14,LIPE,Bologna,93,93,186
2018,3,2018-03-15,LIPE,Bologna,103,103,206
2018,3,2018-03-16,LIPE,Bologna,101,103,204
2018,3,2018-03-17,LIPE,Bologna,78,77,155
2018,3,2018-03-18,LIPE,Bologna,80,81,161
