YEAR,MONTH_NUM,FLT_DATE,APT_ICAO,APT_NAME,Departures_IFR,Arrivals_IFR,Total_IFR_Movements
2024,1,2024-01-01,LIPE,Bologna,99,99,198
2024,1,2024-01-02,LIPE,Bologna,95,94,189
2024,1,2024-01-03,LIPE,Bologna,99,100,199
2024,1,2024-01-04,LIPE,Bologna,96,97,193
2024,1,2024-01-05,LIPE,Bologna,108,108,216
2024,1,2024-01-06,LIPE,Bologna,85,86,171
2024,1,2024-01-07,LIPE,Bologna,91,91,182
2024,1,2024-01-08,LIPE,Bologna,106,109,215
2024,1,2024-01-09,LIPE,Bologna,69,68,137
2024,1,2024-01-10,LIPE,Bologna,75,72,147
2024,1,2024-01-11,LIPE,Bologna,70,73,143
2024,1,2024-01-12,LIPE,Bologna,106,100,206
2024,1,2024-01-13,LIPE,Bologna,74,76,150
2024,1,2024-01-14,LIPE,Bologna,84,85,169
2024,1,2024-01-15,LIPE,Bologna,103,102,205
2024,1,2024-01-16,LIPE,Bologna,69,68,137
2024,1,2024-01-17,LIPE,Bologna,67,66,133
2024,1,2024-01-18,LIPE,Bologna,69,70,139
2024,1,2024-01-19,LIPE,Bologna,103,101,204
2024,1,2024-01-20,LIPE,Bologna,73,75,148
2024,1,2024-01-21,LIPE,Bologna,82,85,167
2024,1,2024-01-22,LIPE,Bologna,103,99,202
2024,1,2024-01-23,LIPE,Bologna,68,69,137
2024,1,2024-01-24,LIPE,Bologna,59,61,120
2024,1,2024-01-25,LIPE,Bologna,65,67,132
2024,1,2024-01-26,LIPE,Bologna,99,96,195
2024,1,2024-01-27,LIPE,Bologna,79,78,157
2024,1,2024-01-28,LIPE,Bologna,82,80,162
2024,1,2024-01-29,LIPE,Bologna,102,103,205
2024,1,2024-01-30,LIPE,Bologna,74,78,152
2024,1,2024-01-31,LIPE,Bologna,73,68,141
2024,2,2024-02-01,LIPE,Bologna,70,75,145
2024,2,2024-02-02,LIPE,Bologna,102,102,204
2024,2,2024-02-03,LIPE,Bologna,76,76,152
2024,2,2024-02-04,LIPE,Bologna,78,81,159
2024,2,2024-02-05,LIPE,Bologna,100,98,198
2024,2,2024-02-06,LIPE,Bologna,74,75,149
2024,2,2024-02-07,LIPE,Bologna,70,67,137
2024,2,2024-02-08,LIPE,Bologna,62,67,129
2024,2,2024-02-09,LIPE,Bologna,97,91,188
2024,2,2024-02-10,LIPE,Bologna,75,78,153
2024,2,2024-02-11,LIPE,Bologna,84,81,165
2024,2,2024-02-12,LIPE,Bologna,103,109,212
2024,2,2024-02-13,LIPE,Bologna,71,70,141
2024,2,2024-02-14,LIPE,Bologna,75,72,147
2024,2,2024-02-15,LIPE,Bologna,74,74,148
2024,2,2024-02-16,LIPE,Bologna,106,108,214
2024,2,2024-02-17,LIPE,Bologna,79,76,155
2024,2,2024-02-18,LIPE,Bologna,88,86,174
2024,2,2024-02-19,LIPE,Bologna,106,105,211
2024,2,2024-02-20,LIPE,Bologna,65,67,132
2024,2,2024-02-21,LIPE,Bologna,69,67,136
2024,2,2024-02-22,LIPE,Bologna,64,69,133
2024,2,2024-02-23,LIPE,Bologna,101,100,201
2024,2,2024-02-24,LIPE,Bologna,77,81,158
2024,2,2024-02-25,LIPE,Bologna,87,81,168
2024,2,2024-02-26,LIPE,Bologna,107,104,211
2024,2,2024-02-27,LIPE,Bologna,74,75,149
2024,2,2024-02-28,LIPE,Bologna,70,69,139
2024,2,2024-02-29,LIPE,Bologna,66,68,134
2024,3,2024-03-01,LIPE,Bologna,110,107,217
2024,3,2024-03-02,LIPE,Bologna,78,77,155
2024,3,2024-03-03,LIPE,Bologna,86,90,176
2024,3,2024-03-04,LIPE,Bologna,109,109,218
2024,3,2024-03-05,LIPE,Bologna,74,78,152
2024,3,2024-03-06,LIPE,Bologna,73,69,142
2024,3,2024-03-07,LIPE,Bologna,68,69,137
2024,3,2024-03-08,LIPE,Bologna,105,102,207
2024,3,2024-03-09,LIPE,Bologna,79,80,159
2024,3,2024-03-10,LIPE,Bologna,91,92,183
2024,3,2024-03-11,LIPE,Bologna,116,116,232
2024,3,2024-03-12,LIPE,Bologna,75,75,150
2024,3,2024-03-13,LIPE,Bologna,74,78,152
2024,3,2024-03-14,LIPE,Bologna,79,78,157
2024,3,2024-03-15,LIPE,Bologna,118,120,238
2024,3,2024-03-16,LIPE,Bologna,84,82,166
2024,3,2024-03-17,LIPE,Bologna,90,90,180
2024,3,2024-03-18,LIPE,Bologna,115,112,227
2024,3,2024-03-19,LIPE,Bologna,76,81,157
2024,3,2024-03-20,LIPE,Bologna,78,78,156
2024,3,2024-03-21,LIPE,Bologna,82,82,164
2024,3,2024-03-22,LIPE,Bologna,115,116,231
2024,3,2024-03-23,LIPE,Bologna,83,86,169
2024,3,2024-03-24,LIPE,Bologna,91,90,181
2024,3,2024-03-25,LIPE,Bologna,115,109,224
2024,3,2024-03-26,LIPE,Bologna,98,102,200
2024,3,2024-03-27,LIPE,Bologna,97,94,191
2024,3,2024-03-28,LIPE,Bologna,106,107,213
2024,3,2024-03-29,LIPE,Bologna,113,109,222
2024,3,2024-03-30,LIPE,Bologna,84,85,169
2024,3,2024-03-31,LIPE,Bologna,110,113,223
2024,4,2024-04-01,LIPE,Bologna,120,120,240
2024,4,2024-04-02,LIPE,Bologna,113,117,230
2024,4,2024-04-03,LIPE,Bologna,128,126,254
2024,4,2024-04-04,LIPE,Bologna,127,133,260
2024,4,2024-04-05,LIPE,Bologna,131,130,261
2024,4,2024-04-06,LIPE,Bologna,111,114,225
2024,4,2024-04-07,LIPE,Bologna,127,122,249
2024,4,2024-04-08,LIPE,Bologna,125,124,249
2024,4,2024-04-09,LIPE,Bologna,122,123,245
2024,4,2024-04-10,LIPE,Bologna,132,132,264
2024,4,2024-04-11,LIPE,Bologna,118,124,242
2024,4,2024-04-12,LIPE,Bologna,138,134,272
2024,4,2024-04-13,LIPE,Bologna,108,106,214
2024,4,2024-04-14,LIPE,Bologna,115,121,236
2024,4,2024-04-15,LIPE,Bologna,139,135,274
2024,4,2024-04-16,LIPE,Bologna,116,121,237
2024,4,2024-04-17,LIPE,Bologna,133,129,262
