YEAR,MONTH_NUM,FLT_DATE,APT_ICAO,APT_NAME,IFR_Departures,ATC_Pre_Delay_Min
2018,4,2018-04-23,LIPE,Bologna,105,37.0
2018,4,2018-04-24,LIPE,Bologna,97,23.0
2018,4,2018-04-25,LIPE,Bologna,99,41.0
2018,4,2018-04-26,LIPE,Bologna,104,39.0
2018,4,2018-04-27,LIPE,Bologna,109,41.0
2018,4,2018-04-28,LIPE,Bologna,93,16.0
2018,4,2018-04-29,LIPE,Bologna,93,6.0
2018,4,2018-04-30,LIPE,Bologna,113,51.0
2018,5,2018-05-01,LIPE,Bologna,92,11.0
2018,5,2018-05-02,LIPE,Bologna,109,34.0
2018,5,2018-05-03,LIPE,Bologna,100,23.0
2018,5,2018-05-04,LIPE,Bologna,105,38.0
2018,5,2018-05-05,LIPE,Bologna,90,5.0
2018,5,2018-05-06,LIPE,Bologna,94,46.0
2018,5,2018-05-07,LIPE,Bologna,104,51.0
2018,5,2018-05-08,LIPE,Bologna,66,223.0
2018,5,2018-05-09,LIPE,Bologna,104,42.0
2018,5,2018-05-10,LIPE,Bologna,96,62.0
2018,5,2018-05-11,LIPE,Bologna,102,82.0
2018,5,2018-05-12,LIPE,Bologna,91,21.0
2018,5,2018-05-13,LIPE,Bologna,104,10.0
2018,5,2018-05-14,LIPE,Bologna,105,54.0
2018,5,2018-05-15,LIPE,Bologna,94,26.0
2018,5,2018-05-16,LIPE,Bologna,106,80.0
2018,5,2018-05-17,LIPE,Bologna,97,49.0
2018,5,2018-05-18,LIPE,Bologna,110,36.0
2018,5,2018-05-19,LIPE,Bologna,91,5.0
2018,5,2018-05-20,LIPE,Bologna,95,19.0
2018,5,2018-05-21,LIPE,Bologna,105,29.0
2018,5,2018-05-22,LIPE,Bologna,95,14.0
2018,5,2018-05-23,LIPE,Bologna,104,58.0
2018,5,2018-05-24,LIPE,Bologna,101,12.0
2018,5,2018-05-25,LIPE,Bologna,117,47.0
2018,5,2018-05-26,LIPE,Bologna,96,0.0
2018,5,2018-05-27,LIPE,Bologna,94,27.0
2018,5,2018-05-28,LIPE,Bologna,109,33.0
2018,5,2018-05-29,LIPE,Bologna,96,34.0
2018,5,2018-05-30,LIPE,Bologna,103,23.0
2018,5,2018-05-31,LIPE,Bologna,99,24.0
2018,6,2018-06-01,LIPE,Bologna,113,57.0
2018,6,2018-06-02,LIPE,Bologna,95,28.0
2018,6,2018-06-03,LIPE,Bologna,104,28.0
2018,6,2018-06-04,LIPE,Bologna,105,19.0
2018,6,2018-06-05,LIPE,Bologna,110,23.0
2018,6,2018-06-06,LIPE,Bologna,103,22.0
2018,6,2018-06-07,LIPE,Bologna,106,22.0
2018,6,2018-06-08,LIPE,Bologna,96,32.0
2018,6,2018-06-09,LIPE,Bologna,105,58.0
2018,6,2018-06-10,LIPE,Bologna,107,84.0
2018,6,2018-06-11,LIPE,Bologna,107,62.0
2018,6,2018-06-12,LIPE,Bologna,108,23.0
2018,6,2018-06-13,LIPE,Bologna,101,18.0
2018,6,2018-06-14,LIPE,Bologna,108,28.0
2018,6,2018-06-15,LIPE,Bologna,118,127.0
2018,6,2018-06-16,LIPE,Bologna,104,35.0
