YEAR,MONTH_NUM,FLT_DATE,APT_ICAO,APT_NAME,Departures_IFR,Arrivals_IFR,Total_IFR_Movements
2025,1,2025-01-01,LIPE,Bologna,85,87,172
2025,1,2025-01-02,LIPE,Bologna,104,104,208
2025,1,2025-01-03,LIPE,Bologna,110,106,216
2025,1,2025-01-04,LIPE,Bologna,94,97,191
2025,1,2025-01-05,LIPE,Bologna,101,99,200
2025,1,2025-01-06,LIPE,Bologna,99,101,200
2025,1,2025-01-07,LIPE,Bologna,94,100,194
2025,1,2025-01-08,LIPE,Bologna,65,62,127
2025,1,2025-01-09,LIPE,Bologna,71,70,141
2025,1,2025-01-10,LIPE,Bologna,113,113,226
2025,1,2025-01-11,LIPE,Bologna,79,79,158
2025,1,2025-01-12,LIPE,Bologna,89,92,181
2025,1,2025-01-13,LIPE,Bologna,107,105,212
2025,1,2025-01-14,LIPE,Bologna,65,65,130
2025,1,2025-01-15,LIPE,Bologna,64,64,128
2025,1,2025-01-16,LIPE,Bologna,69,67,136
2025,1,2025-01-17,LIPE,Bologna,107,105,212
2025,1,2025-01-18,LIPE,Bologna,72,75,147
2025,1,2025-01-19,LIPE,Bologna,92,92,184
2025,1,2025-01-20,LIPE,Bologna,105,108,213
2025,1,2025-01-21,LIPE,Bologna,65,65,130
2025,1,2025-01-22,LIPE,Bologna,72,66,138
2025,1,2025-01-23,LIPE,Bologna,68,71,139
2025,1,2025-01-24,LIPE,Bologna,114,112,226
2025,1,2025-01-25,LIPE,Bologna,68,73,141
2025,1,2025-01-26,LIPE,Bologna,93,93,186
2025,1,2025-01-27,LIPE,Bologna,104,101,205
2025,1,2025-01-28,LIPE,Bologna,65,65,130
2025,1,2025-01-29,LIPE,Bologna,63,65,128
2025,1,2025-01-30,LIPE,Bologna,69,71,140
2025,1,2025-01-31,LIPE,Bologna,115,111,226
2025,2,2025-02-01,LIPE,Bologna,83,84,167
2025,2,2025-02-02,LIPE,Bologna,96,94,190
2025,2,2025-02-03,LIPE,Bologna,103,104,207
2025,2,2025-02-04,LIPE,Bologna,71,74,145
2025,2,2025-02-05,LIPE,Bologna,75,74,149
2025,2,2025-02-06,LIPE,Bologna,70,66,136
2025,2,2025-02-07,LIPE,Bologna,110,111,221
2025,2,2025-02-08,LIPE,Bologna,86,88,174
2025,2,2025-02-09,LIPE,Bologna,96,98,194
2025,2,2025-02-10,LIPE,Bologna,110,103,213
2025,2,2025-02-11,LIPE,Bologna,69,75,144
2025,2,2025-02-12,LIPE,Bologna,75,75,150
2025,2,2025-02-13,LIPE,Bologna,72,68,140
2025,2,2025-02-14,LIPE,Bologna,112,116,228
2025,2,2025-02-15,LIPE,Bologna,94,93,187
2025,2,2025-02-16,LIPE,Bologna,98,98,196
2025,2,2025-02-17,LIPE,Bologna,111,108,219
2025,2,2025-02-18,LIPE,Bologna,84,88,172
2025,2,2025-02-19,LIPE,Bologna,87,85,172
2025,2,2025-02-20,LIPE,Bologna,87,87,174
2025,2,2025-02-21,LIPE,Bologna,114,111,225
2025,2,2025-02-22,LIPE,Bologna,88,88,176
2025,2,2025-02-23,LIPE,Bologna,98,100,198
2025,2,2025-02-24,LIPE,Bologna,109,109,218
2025,2,2025-02-25,LIPE,Bologna,75,78,153
2025,2,2025-02-26,LIPE,Bologna,73,73,146
2025,2,2025-02-27,LIPE,Bologna,79,76,155
2025,2,2025-02-28,LIPE,Bologna,110,114,224
