YEAR,MONTH_NUM,FLT_DATE,APT_ICAO,APT_NAME,Departures_IFR,Arrivals_IFR,Total_IFR_Movements
2019,4,2019-04-22,LIPE,Bologna,104,104,208
2019,4,2019-04-23,LIPE,Bologna,115,115,230
2019,4,2019-04-24,LIPE,Bologna,110,110,220
2019,4,2019-04-25,LIPE,Bologna,107,106,213
2019,4,2019-04-26,LIPE,Bologna,116,117,233
2019,4,2019-04-27,LIPE,Bologna,99,99,198
2019,4,2019-04-28,LIPE,Bologna,106,110,216
2019,4,2019-04-29,LIPE,Bologna,111,107,218
2019,4,2019-04-30,LIPE,Bologna,111,111,222
2019,5,2019-05-01,LIPE,Bologna,105,109,214
2019,5,2019-05-02,LIPE,Bologna,116,116,232
2019,5,2019-05-03,LIPE,Bologna,117,118,235
2019,5,2019-05-04,LIPE,Bologna,104,102,206
2019,5,2019-05-05,LIPE,Bologna,109,111,220
2019,5,2019-05-06,LIPE,Bologna,113,111,224
2019,5,2019-05-07,LIPE,Bologna,110,112,222
2019,5,2019-05-08,LIPE,Bologna,110,110,220
2019,5,2019-05-09,LIPE,Bologna,107,106,213
2019,5,2019-05-10,LIPE,Bologna,115,118,233
2019,5,2019-05-11,LIPE,Bologna,113,112,225
2019,5,2019-05-12,LIPE,Bologna,113,109,222
2019,5,2019-05-13,LIPE,Bologna,114,112,226
2019,5,2019-05-14,LIPE,Bologna,104,107,211
2019,5,2019-05-15,LIPE,Bologna,114,114,228
2019,5,2019-05-16,LIPE,Bologna,113,113,226
2019,5,2019-05-17,LIPE,Bologna,113,115,228
2019,5,2019-05-18,LIPE,Bologna,106,101,207
2019,5,2019-05-19,LIPE,Bologna,106,111,217
2019,5,2019-05-20,LIPE,Bologna,119,113,232
2019,5,2019-05-21,LIPE,Bologna,76,75,151
2019,5,2019-05-22,LIPE,Bologna,112,114,226
2019,5,2019-05-23,LIPE,Bologna,108,111,219
2019,5,2019-05-24,LIPE,Bologna,114,114,228
2019,5,2019-05-25,LIPE,Bologna,105,103,208
2019,5,2019-05-26,LIPE,Bologna,105,105,210
2019,5,2019-05-27,LIPE,Bologna,115,112,227
2019,5,2019-05-28,LIPE,Bologna,107,110,217
2019,5,2019-05-29,LIPE,Bologna,121,122,243
2019,5,2019-05-30,LIPE,Bologna,115,123,238
2019,5,2019-05-31,LIPE,Bologna,125,122,247
2019,6,2019-06-01,LIPE,Bologna,109,105,214
2019,6,2019-06-02,LIPE,Bologna,113,114,227
2019,6,2019-06-03,LIPE,Bologna,121,119,240
2019,6,2019-06-04,LIPE,Bologna,113,113,226
2019,6,2019-06-05,LIPE,Bologna,110,110,220
2019,6,2019-06-06,LIPE,Bologna,119,118,237
2019,6,2019-06-07,LIPE,Bologna,115,117,232
2019,6,2019-06-08,LIPE,Bologna,108,111,219
2019,6,2019-06-09,LIPE,Bologna,108,115,223
2019,6,2019-06-10,LIPE,Bologna,122,113,235
2019,6,2019-06-11,LIPE,Bologna,112,111,223
2019,6,2019-06-12,LIPE,Bologna,116,117,233
2019,6,2019-06-13,LIPE,Bologna,119,114,233
2019,6,2019-06-14,LIPE,Bologna,116,119,235
2019,6,2019-06-15,LIPE,Bologna,107,106,213
2019,6,2019-06-16,LIPE,Bologna,113,120,233
2019,6,2019-06-17,LIPE,Bologna,122,117,239
2019,6,2019-06-18,LIPE,Bologna,114,115,229
2019,6,2019-06-19,LIPE,Bologna,116,113,229
2019,6,2019-06-20,LIPE,Bologna,116,116,232
2019,6,2019-06-21,LIPE,Bologna,120,122,242
2019,6,2019-06-22,LIPE,Bologna,109,108,217
2019,6,2019-06-23,LIPE,Bologna,120,126,246
2019,6,2019-06-24,LIPE,Bologna,126,119,245
2019,6,2019-06-25,LIPE,Bologna,113,113,226
2019,6,2019-06-26,LIPE,Bologna,120,120,240
2019,6,2019-06-27,LIPE,Bologna,117,118,235
2019,6,2019-06-28,LIPE,Bologna,131,133,264
2019,6,2019-06-29,LIPE,Bologna,119,113,232
2019,6,2019-06-30,LIPE,Bologna,122,127,249
2019,7,2019-07-01,LIPE,Bologna,128,122,250
2019,7,2019-07-02,LIPE,Bologna,111,118,229
2019,7,2019-07-03,LIPE,Bologna,125,120,245
2019,7,2019-07-04,LIPE,Bologna,116,122,238
2019,7,2019-07-05,LIPE,Bologna,126,127,253
2019,7,2019-07-06,LIPE,Bologna,113,109,222
2019,7,2019-07-07,LIPE,Bologna,128,127,255
2019,7,2019-07-08,LIPE,Bologna,127,125,252
2019,7,2019-07-09,LIPE,Bologna,111,112,223
2019,7,2019-07-10,LIPE,Bologna,117,119,236
2019,7,2019-07-11,LIPE,Bologna,122,120,242
2019,7,2019-07-12,LIPE,Bologna,121,125,246
2019,7,2019-07-13,LIPE,Bologna,119,115,234
2019,7,2019-07-14,LIPE,Bologna,117,122,239
2019,7,2019-07-15,LIPE,Bologna,127,120,247
2019,7,2019-07-16,LIPE,Bologna,113,115,228
2019,7,2019-07-17,LIPE,Bologna,114,116,230
2019,7,2019-07-18,LIPE,Bologna,113,114,227
2019,7,2019-07-19,LIPE,Bologna,125,123,248
2019,7,2019-07-20,LIPE,Bologna,106,105,211
2019,7,2019-07-21,LIPE,Bologna,115,123,238
2019,7,2019-07-22,LIPE,Bologna,122,119,241
2019,7,2019-07-23,LIPE,Bologna,114,115,229
2019,7,2019-07-24,LIPE,Bologna,118,120,238
2019,7,2019-07-25,LIPE,Bologna,113,118,231
2019,7,2019-07-26,LIPE,Bologna,119,119,238
2019,7,2019-07-27,LIPE,Bologna,115,110,225
2019,7,2019-07-28,LIPE,Bologna,122,130,252
2019,7,2019-07-29,LIPE,Bologna,133,121,254
2019,7,2019-07-30,LIPE,Bologna,113,113,226
2019,7,2019-07-31,LIPE,Bologna,113,117,230
2019,8,2019-08-01,LIPE,Bologna,108,109,217
2019,8,2019-08-02,LIPE,Bologna,117,114,231
2019,8,2019-08-03,LIPE,Bologna,113,110,223
2019,8,2019-08-04,LIPE,Bologna,119,120,239
2019,8,2019-08-05,LIPE,Bologna,120,116,236
2019,8,2019-08-06,LIPE,Bologna,113,112,225
2019,8,2019-08-07,LIPE,Bologna,114,109,223
2019,8,2019-08-08,LIPE,Bologna,108,109,217
2019,8,2019-08-09,LIPE,Bologna,113,117,230
2019,8,2019-08-10,LIPE,Bologna,112,109,221
2019,8,2019-08-11,LIPE,Bologna,114,116,230
2019,8,2019-08-12,LIPE,Bologna,118,116,234
2019,8,2019-08-13,LIPE,Bologna,107,104,211
2019,8,2019-08-14,LIPE,Bologna,106,107,213
